timestamp,amf_instance_id,is_anomaly,anomaly_type,RM.RegReqAtt,RM.RegReqSucc,RM.RegReqFail,RM.RegSuccRate,RM.InitRegReqAtt,RM.InitRegReqSucc,RM.MobilityRegReqAtt,RM.MobilityRegReqSucc,RM.PeriodicRegReqAtt,RM.PeriodicRegReqSucc,RM.DeregReqAtt,RM.DeregReqSucc,CM.ServiceReqAtt,CM.ServiceReqSucc,CM.ServiceReqSuccRate,CM.N2RelAtt,CM.N2RelSucc,MM.HoReqAtt,MM.HoReqSucc,MM.HoSuccRate,MM.XnHoReqAtt,MM.XnHoReqSucc,MM.N2IntraHoReqAtt,MM.N2IntraHoReqSucc,MM.N2InterHoReqAtt,MM.N2InterHoReqSucc,MM.EPS2fiveGSMobAtt,MM.fiveGS2EPSMobAtt,MM.N26HoAtt,PAG.PagingReqAtt,PAG.PagingReqSucc,PAG.PagingSuccRate,PAG.PagingDiscarded,PAG.PagingRetry,PAG.UeInIdleMode,UC.UeContextCreated,UC.UeContextReleased,UC.UeContextModified,UC.ActiveUeContext,UC.MaxUeContextCap,UC.ContextUtilRate,SM.PduSessEstabAtt,SM.PduSessEstabSucc,SM.PduSessEstabSuccRate,SM.PduSessRelAtt,SM.PduSessRelSucc,SM.PduSessModAtt,SM.PduSessModSucc,SM.VoNRAtt,SM.EPSFallbackAtt,SM.SMSAtt,AUTH.AuthProcAtt,AUTH.AuthProcSucc,AUTH.AuthProcFail,AUTH.AuthSuccRate,AUTH.NasSecModeAtt,AUTH.NasSecModeSucc,N1N2.N1MsgSent,N1N2.N1MsgRecv,N1N2.N2MsgSent,N1N2.N2MsgRecv,N1N2.NgapConnActive,N1N2.TotalMsgLoad,RES.CpuUtil,RES.RhoCPU_weighted,RES.MemUtil,RES.MemTotal_MB,RES.MemBase_MB,RES.MemCtx_MB,RES.MemPDU_MB,RES.MemSigBuf_MB,RES.MemAuthCache_MB,RES.Latency_ms,RES.Wq_ms,RES.Lat_InitReg_ms,RES.Lat_MobReg_ms,RES.Lat_PerReg_ms,RES.Lat_SrvReq_ms,RES.Lat_N2Rel_ms,RES.Lat_XnHO_ms,RES.Lat_N2HO_ms,RES.Lat_PduEstab_ms,RES.Lat_Auth_ms,RES.Lat_Paging_ms,RES.Throughput_mps,RES.QueueLength,RES.ActiveWorkers,RES.ActiveUEs,RES.ConnectedUEs,RES.IdleUEs,RES.CPU_eMBB_pct,RES.CPU_mMTC_pct,RES.CPU_URLLC_pct,RES.Mem_eMBB_MB,RES.Mem_mMTC_MB,RES.Mem_URLLC_MB,RES.Lat_eMBB_ms,RES.Lat_mMTC_ms,RES.Lat_URLLC_ms,RES.CpuCyclesPerMsg,RES.MemBytesPerUE,RES.SliceLoadEntropy,RES.Jackson_eMBB_eps,RES.Jackson_mMTC_eps,RES.Jackson_URLLC_eps,SLA.eMBB_breach,SLA.mMTC_breach,SLA.URLLC_breach
2024-01-01 00:00:00,AMF_00,0,none,14038,14020,18,99.872,2992,2985,5453,5442,5593,5593,772,772,105487,105449,99.964,123654,123290,76415,75784,99.174,46690,46379,23501,23268,6224,6137,6167,2111,5182,46327,46015,99.327,354,0,66487,8445,124426,10696,31593,60000,52.655,5367,5367,100.0,2052,2042,6848,6830,583,1642,1262,8445,8405,40,99.526,8445,8428,672186,684368,635259,605646,51,1405167,21.66,0.2319,11.24,928.5,512.0,158.0,78.5,0.0,180.0,9.09,0.0,19.906,20.548,16.244,10.753,4.964,9.88,16.062,27.829,15.649,4.769,1452.717,0,3,31408,31408,66487,26.75,3.52,3.83,263.98,61.16,177.0,0.853,2.238,0.413,214950.2,30816.5,1.2503,310.931,71.212,45.583,0,0,0
2024-01-01 00:15:00,AMF_00,0,none,19599,19556,43,99.781,3500,3486,8581,8562,7518,7508,1035,1033,122784,122784,100.0,138937,138926,98682,97748,99.054,59572,59123,31714,31326,7396,7299,8307,2981,7549,39058,38891,99.572,107,62,69159,12081,139972,15656,29728,60000,49.547,6382,6367,99.765,2787,2778,9062,9016,843,3177,1075,12081,12037,44,99.636,12081,12067,824197,683875,801635,866256,49,1752367,28.69,0.2732,11.04,914.0,512.0,148.6,73.4,0.0,180.0,11.763,0.0,41.485,9.599,5.231,15.067,7.063,11.069,16.709,21.437,28.624,6.472,1806.48,0,3,29351,29351,69159,34.96,3.53,6.11,246.37,61.26,175.11,1.025,2.022,0.606,204111.8,32239.5,1.2243,391.952,90.685,52.184,0,0,0
2024-01-01 00:30:00,AMF_00,0,none,14803,14743,60,99.595,2635,2628,6550,6497,5618,5618,733,733,98950,98512,99.557,109851,109707,71576,71145,99.398,44084,43984,21824,21569,5668,5592,8704,2358,4956,34482,34350,99.617,206,0,70954,9185,110584,11853,28010,60000,46.683,7167,7158,99.874,2260,2260,6661,6643,883,2190,1204,9185,9150,35,99.619,9185,9166,599229,693796,907410,808643,49,1415910,21.56,0.2148,10.51,902.0,512.0,140.1,70.0,0.0,180.0,10.456,0.0,18.518,11.489,10.057,16.777,3.177,13.559,15.826,18.264,12.074,4.46,1674.043,0,2,27991,27991,70954,24.08,1.49,4.01,235.51,61.31,172.73,0.837,2.283,0.461,173197.3,33768.1,1.213,338.407,65.933,30.387,0,0,0
2024-01-01 00:45:00,AMF_00,0,none,15550,15528,22,99.859,3400,3400,6606,6584,5544,5544,967,967,89467,89270,99.78,150550,150550,99775,99118,99.342,65907,65703,27555,27207,6313,6208,9848,2917,6506,38748,38607,99.636,75,92,71745,10006,151517,11760,28098,60000,46.83,7467,7465,99.973,3073,3073,9962,9918,887,3418,1366,10006,9993,13,99.87,10006,10006,918669,797878,959343,773709,50,1705515,25.22,0.2537,11.69,901.2,512.0,140.5,68.7,0.0,180.0,10.019,0.0,15.845,13.047,16.595,11.071,5.056,8.934,23.529,17.796,14.891,12.185,2086.68,0,3,27482,27482,71745,29.36,4.7,5.75,230.66,61.25,173.46,1.209,3.437,0.478,162937.2,33631.3,1.2968,380.889,79.495,57.597,0,0,0
2024-01-01 01:00:00,AMF_00,0,none,19185,19154,31,99.838,4083,4083,7779,7759,7323,7312,1144,1144,133983,133065,99.315,148595,148595,98726,97967,99.231,66606,66345,25302,24915,6818,6707,11373,3166,6433,53107,52810,99.441,285,7,72107,11862,149739,14482,26578,60000,44.297,7245,7207,99.476,2518,2518,8595,8547,878,1826,953,11862,11851,11,99.907,11862,11862,909216,947383,781188,862512,52,1777761,29.76,0.2897,11.97,893.3,512.0,132.9,68.4,0.0,180.0,9.47,0.0,32.338,12.506,8.547,11.024,4.755,9.72,17.731,18.719,29.081,5.709,1878.227,0,3,27346,27346,72107,32.83,5.07,7.3,228.88,61.34,173.88,0.682,3.134,0.553,207947.2,35241.4,1.1911,390.929,98.57,53.459,0,0,0
2024-01-01 01:15:00,AMF_00,0,none,18206,18163,43,99.764,3939,3931,7576,7544,6691,6688,1041,1037,121024,120646,99.688,152014,151744,87622,86860,99.13,52947,52690,26560,26199,8115,7971,10440,3864,6248,35927,35740,99.48,242,0,72610,11515,153055,13892,27237,60000,45.395,7083,7073,99.859,2324,2317,8347,8315,641,2169,1721,11515,11471,44,99.618,11515,11480,745583,913215,741449,766587,49,1683555,25.88,0.274,10.54,895.6,512.0,136.2,67.4,0.0,180.0,11.581,0.0,16.017,13.618,12.398,15.674,4.071,13.583,30.898,18.853,13.534,4.845,1652.258,0,3,26966,26966,72610,27.71,2.77,7.83,225.58,61.42,173.34,1.119,2.54,0.523,223906.1,34479.0,1.1419,371.04,98.874,45.973,0,0,0
2024-01-01 01:30:00,AMF_00,0,none,15643,15601,42,99.732,3052,3052,6540,6515,6051,6034,840,837,86477,86309,99.806,145782,145782,93206,92446,99.185,59760,59482,27421,27052,6025,5912,9122,2706,5977,41932,41641,99.306,44,184,72907,9592,146622,12177,27130,60000,45.217,5438,5417,99.614,2256,2251,8382,8359,691,2285,1336,9592,9568,24,99.75,9592,9592,963240,746552,773190,763923,53,1593721,26.67,0.2436,12.12,894.6,512.0,135.7,66.9,0.0,180.0,8.418,0.0,25.578,22.67,5.053,5.712,3.06,16.651,16.291,44.654,12.174,6.067,1929.367,0,3,26767,26767,72907,29.85,3.25,7.0,223.74,61.37,173.65,0.47,1.368,0.426,169119.9,34575.1,1.2889,347.585,77.549,58.021,0,0,0
2024-01-01 01:45:00,AMF_00,0,none,17966,17935,31,99.827,4477,4465,7435,7435,6054,6035,1057,1056,159462,159462,100.0,157980,157648,105481,104647,99.209,69355,68897,29260,28964,6866,6786,11185,3709,7433,51847,51639,99.599,162,53,72663,11912,159037,13078,27795,60000,46.325,6385,6385,100.0,3191,3191,8576,8537,710,2584,1709,11912,11872,40,99.664,11912,11848,854901,1033386,916922,996271,53,1922163,31.24,0.3182,11.17,898.7,512.0,139.0,67.7,0.0,180.0,9.494,0.0,23.504,16.154,8.672,8.429,5.97,12.175,21.025,27.353,12.309,6.974,1968.692,0,4,27083,27083,72663,37.17,3.82,4.99,226.6,61.46,173.22,0.991,1.134,0.468,218581.2,33903.1,1.2607,437.893,91.9,56.455,0,0,0
2024-01-01 02:00:00,AMF_00,0,none,17829,17800,29,99.837,3681,3681,7328,7322,6820,6797,868,864,134670,134500,99.874,158964,158964,110311,109070,98.875,80321,79366,24259,24062,5731,5642,10038,4029,6987,53016,52841,99.67,232,0,72597,11009,159832,13699,27347,60000,45.578,6683,6658,99.626,2065,2063,7245,7227,566,2551,1545,11009,10973,36,99.673,11009,10983,695184,770404,875294,963481,51,1779233,28.65,0.3011,10.12,896.7,512.0,136.7,68.0,0.0,180.0,9.387,0.0,28.504,7.273,9.29,10.142,4.763,10.255,26.646,27.83,11.451,6.476,1744.976,0,4,27203,27203,72597,30.69,2.66,5.9,226.76,61.56,174.14,0.87,1.047,0.4,232288.7,34384.1,1.2849,380.549,89.091,68.855,0,0,0
2024-01-01 02:15:00,AMF_00,0,none,18194,18110,84,99.538,3788,3774,7799,7751,6607,6585,1006,1005,95833,95360,99.506,170498,170498,106566,105844,99.322,68602,68257,30356,30076,7608,7511,9931,3263,5583,53707,53302,99.246,370,51,72596,11587,171504,13989,27708,60000,46.18,7237,7199,99.475,2990,2980,8737,8713,772,2991,1764,11587,11542,45,99.612,11587,11587,897997,974430,842728,948308,53,1891427,26.51,0.2814,11.25,898.6,512.0,138.5,68.1,0.0,180.0,9.986,0.0,16.623,18.457,5.383,9.56,7.576,13.782,18.025,25.343,9.898,4.685,1934.139,0,4,27230,27230,72596,31.48,2.02,4.48,227.1,61.49,174.31,0.785,1.114,0.482,194611.6,34007.0,1.3289,445.395,77.071,53.807,0,0,0
